Case Number	ReportNumberNew	Incident_Date	Incident_Time	IncidentType	ALL_INCIDENTS	Crime_Category	TimeOfDay	Period	Officer	Grid	Zone	RMS_Block	CAD_Block	Enhanced_Block	Has_CAD_Data	Time_Response_Minutes	Time_Response_Formatted	Time_Response_Flag	Time_Spent_Minutes	Time_Spent_Formatted	Time_Spent_Flag	CADNotes	CAD_Notes_Cleaned	CAD_Username	CAD_Timestamp	CAD_Disposition	CAD_Response_Type
25-000813	null	01/03/25	21:30:00	Motor Vehicle Theft	Motor Vehicle Theft	Motor Vehicle Theft	20:00–23:59 Night	YTD	P.O. Nicholas Mazzaccaro 377	I2	9	Lookout Avenue, 300 Block	null	Lookout Avenue, 300 Block	No	null	null	null	null	null	null	null	null	null	null	null	null
25-002564	25-002564	01/07/25	14:00:00	Criminal Sexual Contact	Criminal Sexual Contact, Juvenile Investigation	Sexual Offenses	12:00–15:59 Afternoon	YTD	Det. Cristobal Lara-Nunez 341	G3	7	First Street, 100 Block	First Street, 100 Block	First Street, 100 Block	Yes	0.63	38 Secs	0-1 Minutes	0.03	0 Mins	Under 5 Minutes		null	null	null	See Report	null
25-002635	25-002635	01/06/25	15:30:00	Burglary - Auto	Burglary - Auto	Burglary – Auto	12:00–15:59 Afternoon	YTD	P.O. Ruben Almonte 359	null	7	Prospect Avenue, 0 Block	Prospect Avenue, 0 Block	Prospect Avenue, 0 Block	Yes	14.7	14 Mins 42 Secs	Over 10 Minutes	50.57	51 Mins	Normal	- cavallo_f - 1/10/2025 7:57:11 PM tools were stolen from it. She believes it was her ex-husband. - cavallo_f - 1/10/2025 7:57:35 PM	null	Cavallo_F	01/10/2025 07:57:11	See Report	null
25-003362	null	01/13/25	12:05:00	Dispute	Dispute, Criminal Attempt, Robbery	Robbery	12:00–15:59 Afternoon	YTD	P.O. Forrod Bonsu 353	H3	8	Clay Street, 200 Block	null	Clay Street, 200 Block	No	null	null	null	null	null	null	null	null	null	null	null	null
25-004097	25-004097	01/15/25	12:57:26	Motor Vehicle Theft	Motor Vehicle Theft	Motor Vehicle Theft	12:00–15:59 Afternoon	YTD	P.O. Frank Lorenzo 371	H3	8	First Street, 200 Block	First Street, 200 Block	First Street, 200 Block	Yes	1.78	1 Mins 47 Secs	Normal	70.02	1 Hrs 10 Mins	Normal		null	null	null	See Report	Routine
25-003813	null	01/14/25	15:22:34	Robbery	Robbery, Resisting Arrest/Eluding, Suspicious Person	Robbery	12:00–15:59 Afternoon	YTD	P.O. Nicholas Mazzaccaro 377	I6	9	Hackensack Avenue, 400 Block	null	Hackensack Avenue, 400 Block	No	null	null	null	null	null	null	null	null	null	null	null	null
25-004629	25-004629	01/16/25	21:03:00	Robbery	Robbery	Robbery	20:00–23:59 Night	YTD	P.O. Massimo Gallorini 379	I1	9	Main Street, 600 Block	Main Street, 600 Block	Main Street, 600 Block	Yes	5.43	5 Mins 26 Secs	Normal	12.43	12 Mins	Normal	- Gervasi_J - 1/17/2025 12:22:23 PM	null	Gervasi_J	01/17/2025 12:22:23	See Report	Emergency
25-005871	25-005871	01/21/25	19:00:00	Motor Vehicle Theft	Motor Vehicle Theft	Motor Vehicle Theft	16:00–19:59 Evening Peak	YTD	P.O. Roselys Salas 369	I1	9	Ross Avenue, 0 Block	Ross Avenue, 0 Block	Ross Avenue, 0 Block	Yes	5.52	5 Mins 31 Secs	Normal	86.82	1 Hrs 27 Mins	Normal		null	null	null	See Report	Routine
25-004478	null	01/16/25	12:00:00	Burglary - Residence	Burglary - Residence	Burglary – Commercial/Residence	12:00–15:59 Afternoon	YTD	P.O. Aziah Miller 357	G3	7	Second Street, 0 Block	null	Second Street, 0 Block	No	null	null	null	null	null	null	null	null	null	null	null	null
25-006083	25-006083	01/22/25	8:00:00	Motor Vehicle Theft	Motor Vehicle Theft	Motor Vehicle Theft	08:00–11:59 Morning Peak	YTD	P.O. Roselys Salas 369	E3	5	Hudson Street, 400 Block	Hudson Street, 400 Block	Hudson Street, 400 Block	Yes	7	7 Mins	Normal	95.6	1 Hrs 36 Mins	Normal		null	null	null	See Report	Routine
25-006324	null	01/23/25	15:00:00	Sexual Assault	Sexual Assault, Juvenile Investigation	Sexual Offenses	12:00–15:59 Afternoon	YTD	Det. Frankie Garrett 323	H3	8	Berdan Place, 100 Block	null	Berdan Place, 100 Block	No	null	null	null	null	null	null	null	null	null	null	null	null
25-008075	25-008075	01/28/25	15:00:00	Motor Vehicle Theft	Motor Vehicle Theft, Theft	Motor Vehicle Theft	12:00–15:59 Afternoon	YTD	P.O. Roselys Salas 369	F1	6	Essex Street, 100 Block	Essex Street, 100 Block	Essex Street, 100 Block	Yes	2.12	2 Mins 07 Secs	Normal	26.3	26 Mins	Normal	- Swetits_m - 1/29/2025 10:04:14 PM	null	Swetits_M	01/29/2025 10:04:14	See Report	Routine
25-006864	null	01/25/25	11:00:00	Burglary - Residence	Burglary - Residence	Burglary – Commercial/Residence	08:00–11:59 Morning Peak	YTD	P.O. Andres Lopez 375	E1	5	Kansas Street, 0 Block	null	Kansas Street, 0 Block	No	null	null	null	null	null	null	null	null	null	null	null	null
25-008777	25-008777	02/01/25	1:00:00	Motor Vehicle Theft	Motor Vehicle Theft	Motor Vehicle Theft	00:00–03:59 Early Morning	YTD	P.O. Roselys Salas 369	F2	6	Sutton Avenue, 400 Block	Sutton Avenue, 400 Block	Sutton Avenue, 400 Block	Yes	2.62	2 Mins 37 Secs	Normal	138.02	2 Hrs 18 Mins	Normal	- wouters_f - 2/1/2025 2:54:35 AM	null	Wouters_F	02/01/2025 02:54:35	See Report	Routine
25-007074	null	01/25/25	18:27:00	Burglary - Auto	Burglary - Auto, Theft	Burglary – Auto	16:00–19:59 Evening Peak	YTD	P.O. Massimo Gallorini 379	H3	8	Stanley Place, 200 Block	null	Stanley Place, 200 Block	No	null	null	null	null	null	null	null	null	null	null	null	null
