Crime Type,Period,Start Date,SQL Query
Motor Vehicle Theft,7-Day,5/13/2025,calltype LIKE '%Motor Vehicle Theft%' AND disposition LIKE '%See Report%' AND calldate >= DATE '2025-05-13'
Motor Vehicle Theft,28-Day,4/22/2025,calltype LIKE '%Motor Vehicle Theft%' AND disposition LIKE '%See Report%' AND calldate >= DATE '2025-04-22'
Motor Vehicle Theft,YTD,1/1/2025,calltype LIKE '%Motor Vehicle Theft%' AND disposition LIKE '%See Report%' AND calldate >= DATE '2025-01-01'
Burglary - Auto,7-Day,5/13/2025,calltype LIKE '%Burglary - Auto%' AND disposition LIKE '%See Report%' AND calldate >= DATE '2025-05-13'
Burglary - Auto,28-Day,4/22/2025,calltype LIKE '%Burglary - Auto%' AND disposition LIKE '%See Report%' AND calldate >= DATE '2025-04-22'
Burglary - Auto,YTD,1/1/2025,calltype LIKE '%Burglary - Auto%' AND disposition LIKE '%See Report%' AND calldate >= DATE '2025-01-01'
Burglary - Comm & Res,7-Day,5/13/2025,(calltype LIKE '%Burglary - Residence%' OR calltype LIKE '%Burglary - Commercial%') AND disposition LIKE '%See Report%' AND calldate >= DATE '2025-05-13'
Burglary - Comm & Res,28-Day,4/22/2025,(calltype LIKE '%Burglary - Residence%' OR calltype LIKE '%Burglary - Commercial%') AND disposition LIKE '%See Report%' AND calldate >= DATE '2025-04-22'
Burglary - Comm & Res,YTD,1/1/2025,(calltype LIKE '%Burglary - Residence%' OR calltype LIKE '%Burglary - Commercial%') AND disposition LIKE '%See Report%' AND calldate >= DATE '2025-01-01'
Robbery,7-Day,5/13/2025,calltype LIKE '%Robbery%' AND disposition LIKE '%See Report%' AND calldate >= DATE '2025-05-13'
Robbery,28-Day,4/22/2025,calltype LIKE '%Robbery%' AND disposition LIKE '%See Report%' AND calldate >= DATE '2025-04-22'
Robbery,YTD,1/1/2025,calltype LIKE '%Robbery%' AND disposition LIKE '%See Report%' AND calldate >= DATE '2025-01-01'
Sexual Offenses,7-Day,5/13/2025,calltype LIKE '%Sexual Offense%' AND disposition LIKE '%See Report%' AND calldate >= DATE '2025-05-13'
Sexual Offenses,28-Day,4/22/2025,calltype LIKE '%Sexual Offense%' AND disposition LIKE '%See Report%' AND calldate >= DATE '2025-04-22'
Sexual Offenses,YTD,1/1/2025,calltype LIKE '%Sexual Offense%' AND disposition LIKE '%See Report%' AND calldate >= DATE '2025-01-01'
